Defense,DefenseDescription,DefenseName,Technique,TechniqueName,TechniqueDescription
DTE0012,"A defender can seed systems with decoy credentials in a variety of locations and establish alerting that will trigger if an adversary harvests the credentials and attempts to use them.","DTE0012 - Decoy Credentials",T1078,"T1078 - Valid Accounts","There is an opportunity to deploy a tripwire that triggers an alert when an adversary touches a network resource or uses a specific technique."
DTE0036,"A defender can modify the functionality of commands that are used to delete files or format drives so they fail when used in a specific manner.","DTE0036 - Software Manipulation",T1561,"T1561 - Disk Wipe","There is an opportunity for the defender to observe the adversary and control what they can see, what effects they can have, and/or what data they can access."
DTE0032,"A defender could implement security controls to force an adversary to modify the authentication process if they want to collect or utilize credentials on a system.","DTE0032 - Security Controls",T1556,"T1556 - Modify Authentication Process","There is an opportunity to use security controls on systems in order to affect the success of an adversary."
DTE0032,"In an adversary engagement scenario, a defender can implement weak security controls that an adversary could subvert in order to further their attack.","DTE0032 - Security Controls",T1599,"T1599 - Network Boundary Bridging","There is an opportunity to use security controls to stop or allow an adversary's activity."
DTE0011,"A defender can utilize decoy files and directories to provide content that could be used by the adversary.","DTE0011 - Decoy Content",T1083,"T1083 - File and Directory Discovery","There is an opportunity to feed content to an adversary to influence their behaviors, test their interest in specific topics, or add legitimacy to a system or environment."
DTE0011,"A defender can insert into a system's clipboard decoy content for the adversary to find.","DTE0011 - Decoy Content",T1115,"T1115 - Clipboard Data","There is an opportunity to introduce data to an adversary to influence their future behaviors."
DTE0017,"A defender can use a decoy system to see if an adversary exploits vulnerable software in order to compromise the system.","DTE0017 - Decoy System",T1203,"T1203 - Exploitation for Client Execution","There is an opportunity to study the adversary and collect first-hand observations about them and their tools."
DTE0014,"A defender can create a decoy network that contains systems which are easily discoverable and appealing to an adversary.","DTE0014 - Decoy Network",T1590,"T1590 - Gather Victim Network Information","There is an opportunity to introduce services in a decoy network to determine if an adversary notices and tries to learn more about them."
DTE0036,"A defender can modify system calls to break communications, route things to decoy systems, prevent full execution, etc.","DTE0036 - Software Manipulation",T1106,"T1106 - Native API","There is an opportunity for the defender to observe the adversary and control what they can see, what effects they can have, and/or what data they can access."
DTE0021,"A defender can use a decoy persona to engage with online communities or to purchase/download information about their organization and review for exposure.","DTE0021 - Hunting",T1597,"T1597 - Search Closed Sources","There is an opportunity to discover who or what is being targeting by an adversary."
DTE0007,"A defender can implement behavioral analytics which would indicate activity on or against a domain controller. Activity which is out of sync with scheduled domain tasks, or results in an uptick in traffic with a particular system on the network could indicate malicious activity.","DTE0007 - Behavioral Analytics",T1207,"T1207 - Rogue Domain Controller","There is an opportunity to detect the presence of an adversary by identifying and alerting on anomalous behaviors."
DTE0021,"A defender can use a decoy persona to engage with online communities or to purchase/download information about their organization and review for exposure.","DTE0021 - Hunting",T1596,"T1596 - Search Open Technical Databases","There is an opportunity to discover who or what is being targeting by an adversary."
DTE0011,"A defender can utilize decoy network shares to provide content that could be used by the adversary.","DTE0011 - Decoy Content",T1135,"T1135 - Network Share Discovery","In an adversary engagement scenario, there is an opportunity to introduce decoy content to entice additional engagement activity."
DTE0017,"A defender can use decoy system running a public-facing application to see if an adversary attempts to compromise the system and learn their TTPs.","DTE0017 - Decoy System",T1190,"T1190 - Exploit Public-Facing Application","There is an opportunity to deploy a tripwire that triggers an alert when an adversary touches a network resource or uses a specific technique."
DTE0036,"By changing the output of network sniffing utilities normally found on a system, you can prevent adversaries from seeing particular content or making use of the results at all.","DTE0036 - Software Manipulation",T1040,"T1040 - Network Sniffing","There is an opportunity for the defender to observe the adversary and control what they can see, what effects they can have, and/or what data they can access."
DTE0027,"The defender can implement network monitoring for and alert on anomalous traffic patterns, large or unexpected data transfers, and other activity that may reveal the presence of an adversary.","DTE0027 - Network Monitoring",T1071,"T1071 - Application Layer Protocol","There is an opportunity to monitor network traffic for different protocols, anomalous traffic patterns, transfer of data, etc. to determine the presence of an adversary."
DTE0027,"The defender can implement network monitoring for and alert on anomalous traffic patterns, large or unexpected data transfers, and other activity that may reveal the presence of an adversary.","DTE0027 - Network Monitoring",T1029,"T1029 - Scheduled Transfer","There is an opportunity to monitor network traffic for different protocols, anomalous traffic patterns, transfer of data, etc. to determine the presence of an adversary."
DTE0028,"Collecting full packet capture of all network traffic allows you to review what happened over the connection and identify command and control traffic and/or exfiltration activity.","DTE0028 - PCAP Collection",T1105,"T1105 - Ingress Tool Transfer","There is an opportunity to collect network data and analyze the adversary activity it contains."
DTE0016,"A defender can deploy a diverse set of decoy systems to impact an adversary's level of effort during recon activity.","DTE0016 - Decoy Process",T1595,"T1595 - Active Scanning","There is an opportunity to introduce services in a decoy network to determine if an adversary notices and tries to learn more about them."
DTE0012,"A defender can seed systems with decoy credentials in a variety of locations and establish alerting that will trigger if an adversary harvests the credentials and attempts to use them.","DTE0012 - Decoy Credentials",T1003,"T1003 - OS Credential Dumping","There is an opportunity to deploy a tripwire that triggers an alert when an adversary touches a network resource or uses a specific technique."
DTE0030,"A defender can stage a variety of pocket litter files in order to determine if an adversary is interested in specific file types, subjects, etc.","DTE0030 - Pocket Litter",T1039,"T1039 - Data from Network Shared Drive","In an adversary engagement scenario, there is an opportunity provide content on a variety of topics to see what types of information seems to interest the adversary."
DTE0026,"A defender could allow or deny outbound SMB requests from a network to affect the success of forced authentication. Alternative a defender could redirect outbound SMB requests to a decoy system to thwart attempted credential theft","DTE0026 - Network Manipulation",T1187,"T1187 - Forced Authentication","There is an opportunity to manipulate the network to allow/deny certain types of traffic, to degrade network traffic, or otherwise impact an adversary's activity."
DTE0032,"A defender can harden authentication mechanisms to ensure having just a session cookie is not enough to authenticate with another system.","DTE0032 - Security Controls",T1539,"T1539 - Steal Web Session Cookie","There is an opportunity to use security controls to stop or allow an adversary's activity."
DTE0031,"Defenders can reverse engineer malware and develop protocol decoders that can decrypt and expose adversary communications","DTE0031 - Protocol Decoder",T1573,"T1573 - Encrypted Channel","There is an opportunity to reveal data that the adversary has tried to protect from defenders"
DTE0006,"A defender can revert a system to a verified baseline a frequent, recurring basis in order to remove adversary persistence mechanisms.","DTE0006 - Baseline",T1037,"T1037 - Boot or Logon Initialization Scripts","There is an opportunity to utilize confirmed good copies of login scripts and restoring on a frequent basis to prevent an adversary from using them to launch malware on a recurring basis."
DTE0032,"A defender can prevent an adversary from enabling Wi-Fi or Bluetooth interfaces which could be connected to surrounding access points or devices and used for exfiltration.","DTE0032 - Security Controls",T1011,"T1011 - Exfiltration Over Other Network Medium","In an adversary engagement scenario, there is an opportunity to implement security controls to support your defensive objectives over a prolonged engagement."
DTE0036,"A defender could manipulate a system's software to alter the results of an adversary enumerating permission group information.","DTE0036 - Software Manipulation",T1069,"T1069 - Permission Groups Discovery","In an adversary engagement operation, there is an opportunity to impact what an adversary sees when they execute commands on a system."
DTE0017,"A defender can deploy a decoy software deployment tool within an adversary engagement environment to see how the adversary attempts to use the device during their activity.","DTE0017 - Decoy System",T1072,"T1072 - Software Deployment Tools","There is an opportunity to study the adversary and collect first-hand observations about them and their tools."
DTE0032,"A defender can block execution of untrusted software.","DTE0032 - Security Controls",T1601,"T1601 - Modify System Image","There is an opportunity to use security controls on systems in order to affect the success of an adversary."
DTE0032,"In an adversary engagement scenario, a defender could ensure security controls allow untrusted code to execute on a system.","DTE0032 - Security Controls",T1014,"T1014 - Rootkit","In an adversary engagement scenario, there is an opportunity to implement security controls to allow an adversary to accomplish a task and extend an engagement."
DTE0008,"A defender can prepare a Decoy System by logging in to the Decoy Account and using it in ways consistent with the deception story, creating artifacts in the system that make it look legitimate.","DTE0008 - Burn-In",T1078,"T1078 - Valid Accounts","There is an opportunity to prepare user accounts so they look used and authentic."
DTE0036,"A defender can alter the output of the password policy description so the adversary is unsure of exactly what the requirements are.","DTE0036 - Software Manipulation",T1201,"T1201 - Password Policy Discovery","In an adversary engagement operation, there is an opportunity to impact what an adversary sees when they execute commands on a system."
DTE0017,"A defender can deploy a diverse set of decoy systems to impact an adversary's level of effort during recon activity.","DTE0017 - Decoy System",T1580,"T1580 - Cloud Infrastructure Discovery","There is an opportunity to introduce decoy information, users, systems, etc. to influence an adversary's future actions."
DTE0003,"A defender can monitor operating system functions calls to look for adversary use and/or abuse.","DTE0003 - API Monitoring",T1106,"T1106 - Native API","There is an opportunity for the defender to observe the adversary and control what they can see, what effects they can have, and/or what data they can access."
DTE0011,"A defender can insert decoy content into external sources or resources that adversaries may leverage for intelligence gathering.","DTE0011 - Decoy Content",T1597,"T1597 - Search Closed Sources","There is an opportunity to introduce data to an adversary to influence their future behaviors."
DTE0028,"Collecting full packet capture of all network traffic allows you to review what happened over the connection and identify command and control traffic and/or exfiltration activity.","DTE0028 - PCAP Collection",T1020,"T1020 - Automated Exfiltration","There is an opportunity to collect network data and analyze the adversary activity it contains."
DTE0011,"A defender could seed decoy network shares within an adversary engagement network to see if an adversary uses them for payload delivery or lateral movement.","DTE0011 - Decoy Content",T1080,"T1080 - Taint Shared Content","There is an opportunity to introduce decoy information, users, systems, etc. to influence an adversary's future actions."
DTE0010,"A defender can use decoy accounts and monitor them for any activity that might reveal adversary manipulation.","DTE0010 - Decoy Account",T1098,"T1098 - Account Manipulation","There is an opportunity to study the adversary and collect first-hand observations about them and their tools."
DTE0005,"A defender can ensure data is backed up on a regular basis and backups are stored offline from the system. If an adversary is detected destroying or altering data, the defender could selectively restore data from backup to see how the adversary reacts.","DTE0005 - Backup and Recovery",T1491,"T1491 - Defacement","There is an opportunity to disrupt an adversary's defacement activity by quickly restoring altered content."
DTE0011,"A defender can plant decoy emails containing deceptive content and breadcrumbs to lure the attacker toward deception systems.","DTE0011 - Decoy Content",T1114,"T1114 - Email Collection","There is an opportunity to influence an adversary to move toward systems you want them to engage with."
DTE0007,"The defender can use behavioral analytics detect an XSL process doing something abnormal.","DTE0007 - Behavioral Analytics",T1220,"T1220 - XSL Script Processing","There is an opportunity to detect the presence of an adversary by identifying and alerting on anomalous behaviors."
DTE0014,"A defender can install any suspect hardware or software on an isolated system or network and monitor for non-standard behaviors.","DTE0014 - Decoy Network",T1195,"T1195 - Supply Chain Compromise","Hardware and/or software additions can be tested and verified in controlled environments prior to deployment."
DTE0006,"A defender can revert a system to a verified baseline a frequent, recurring basis in order to remove adversary persistence mechanisms.","DTE0006 - Baseline",T1601,"T1601 - Modify System Image","There is an opportunity to use tools and controls to stop an adversary's activity."
