"table_name","description","category","category_primary","category_source","category_candidates","support_tier","collection_method","collection_method_source","collection_method_candidates","feeding_connector_ids","source_vendor","source_product","collector_vendor","collector_product","source_vendor_basis","collector_vendor_basis","resource_types","source_azure_monitor","source_defender_xdr","azure_monitor_doc_link","defender_xdr_doc_link","basic_logs_eligible","supports_transformations","ingestion_api_supported","is_clv1"
"DataSetRuns","Reference for DataSetRuns table in Azure Monitor Logs.","Azure Resources, Virtual Machines","Cloud","category=Azure Resources;category=Virtual Machines","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.azuremonitordiagnosticsagents/datacollection, microsoft.compute/virtualmachines, microsoft.compute/virtualmachinescalesets","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/datasetruns","","Yes","Yes","No",""
"DataTransferOperations","Reference for DataTransferOperations table in Azure Monitor Logs.","Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.azuredatatransfer/connections","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/datatransferoperations","","Yes","Yes","No",""
"DatabricksAccounts","Reference for DatabricksAccounts table in Azure Monitor Logs.","Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.databricks/workspaces","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/databricksaccounts","","Yes","Yes","No",""
"DatabricksApps","Reference for DatabricksApps table in Azure Monitor Logs.","Audit, Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.databricks/workspaces","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/databricksapps","","Yes","Yes","No",""
"DatabricksBrickStoreHttpGateway","Reference for DatabricksBrickStoreHttpGateway table in Azure Monitor Logs.","Audit, Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.databricks/workspaces","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/databricksbrickstorehttpgateway","","Yes","Yes","No",""
"DatabricksBudgetPolicyCentral","Reference for DatabricksBudgetPolicyCentral table in Azure Monitor Logs.","Audit, Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.databricks/workspaces","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/databricksbudgetpolicycentral","","Yes","Yes","No",""
"DatabricksCapsule8Dataplane","Reference for DatabricksCapsule8Dataplane table in Azure Monitor Logs.","Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.databricks/workspaces","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/databrickscapsule8dataplane","","Yes","","No",""
"DatabricksClamAVScan","Reference for DatabricksClamAVScan table in Azure Monitor Logs.","Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.databricks/workspaces","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/databricksclamavscan","","Yes","","No",""
"DatabricksCloudStorageMetadata","Reference for DatabricksCloudStorageMetadata table in Azure Monitor Logs.","Audit, Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.databricks/workspaces","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/databrickscloudstoragemetadata","","Yes","Yes","No",""
"DatabricksClusterLibraries","Reference for DatabricksClusterLibraries table in Azure Monitor Logs.","Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.databricks/workspaces","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/databricksclusterlibraries","","Yes","","No",""
"DatabricksClusterPolicies","Reference for DatabricksClusterPolicies table in Azure Monitor Logs.","Audit, Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.databricks/workspaces","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/databricksclusterpolicies","","Yes","Yes","No",""
"DatabricksClusters","Reference for DatabricksClusters table in Azure Monitor Logs.","Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.databricks/workspaces","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/databricksclusters","","Yes","Yes","No",""
"DatabricksDBFS","Reference for DatabricksDBFS table in Azure Monitor Logs.","Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.databricks/workspaces","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/databricksdbfs","","Yes","Yes","No",""
"DatabricksDashboards","Reference for DatabricksDashboards table in Azure Monitor Logs.","Audit, Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.databricks/workspaces","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/databricksdashboards","","Yes","Yes","No",""
"DatabricksDataMonitoring","Reference for DatabricksDataMonitoring table in Azure Monitor Logs.","Audit, Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.databricks/workspaces","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/databricksdatamonitoring","","Yes","Yes","No",""
"DatabricksDataRooms","Reference for DatabricksDataRooms table in Azure Monitor Logs.","Audit, Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.databricks/workspaces","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/databricksdatarooms","","Yes","Yes","No",""
"DatabricksDatabricksSQL","Reference for DatabricksDatabricksSQL table in Azure Monitor Logs.","Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.databricks/workspaces","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/databricksdatabrickssql","","Yes","","No",""
"DatabricksDeltaPipelines","Reference for DatabricksDeltaPipelines table in Azure Monitor Logs.","Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.databricks/workspaces","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/databricksdeltapipelines","","Yes","","No",""
"DatabricksFeatureStore","Reference for DatabricksFeatureStore table in Azure Monitor Logs.","Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.databricks/workspaces","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/databricksfeaturestore","","Yes","Yes","No",""
"DatabricksFiles","Reference for DatabricksFiles table in Azure Monitor Logs.","Audit, Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.databricks/workspaces","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/databricksfiles","","Yes","Yes","No",""
"DatabricksFilesystem","Reference for DatabricksFilesystem table in Azure Monitor Logs.","Audit, Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.databricks/workspaces","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/databricksfilesystem","","Yes","Yes","No",""
"DatabricksGenie","Reference for DatabricksGenie table in Azure Monitor Logs.","Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.databricks/workspaces","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/databricksgenie","","Yes","Yes","No",""
"DatabricksGitCredentials","Reference for DatabricksGitCredentials table in Azure Monitor Logs.","Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.databricks/workspaces","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/databricksgitcredentials","","Yes","","No",""
"DatabricksGlobalInitScripts","Reference for DatabricksGlobalInitScripts table in Azure Monitor Logs.","Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.databricks/workspaces","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/databricksglobalinitscripts","","Yes","Yes","No",""
"DatabricksGroups","Reference for DatabricksGroups table in Azure Monitor Logs.","Audit, Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.databricks/workspaces","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/databricksgroups","","Yes","Yes","No",""
"DatabricksIAMRole","Reference for DatabricksIAMRole table in Azure Monitor Logs.","Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.databricks/workspaces","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/databricksiamrole","","Yes","","No",""
"DatabricksIngestion","Reference for DatabricksIngestion table in Azure Monitor Logs.","Audit, Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.databricks/workspaces","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/databricksingestion","","Yes","Yes","No",""
"DatabricksInstancePools","Reference for DatabricksInstancePools table in Azure Monitor Logs.","Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.databricks/workspaces","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/databricksinstancepools","","Yes","Yes","No",""
"DatabricksJobs","Reference for DatabricksJobs table in Azure Monitor Logs.","Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.databricks/workspaces","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/databricksjobs","","Yes","Yes","No",""
"DatabricksLakeviewConfig","Reference for DatabricksLakeviewConfig table in Azure Monitor Logs.","Audit, Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.databricks/workspaces","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/databrickslakeviewconfig","","Yes","Yes","No",""
"DatabricksLineageTracking","Reference for DatabricksLineageTracking table in Azure Monitor Logs.","Audit, Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.databricks/workspaces","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/databrickslineagetracking","","Yes","Yes","No",""
"DatabricksMLflowAcledArtifact","Reference for DatabricksMLflowAcledArtifact table in Azure Monitor Logs.","Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.databricks/workspaces","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/databricksmlflowacledartifact","","Yes","Yes","No",""
"DatabricksMLflowExperiment","Reference for DatabricksMLflowExperiment table in Azure Monitor Logs.","Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.databricks/workspaces","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/databricksmlflowexperiment","","Yes","Yes","No",""
"DatabricksMarketplaceConsumer","Reference for DatabricksMarketplaceConsumer table in Azure Monitor Logs.","Audit, Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.databricks/workspaces","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/databricksmarketplaceconsumer","","Yes","Yes","No",""
"DatabricksMarketplaceProvider","Reference for DatabricksMarketplaceProvider table in Azure Monitor Logs.","Audit, Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.databricks/workspaces","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/databricksmarketplaceprovider","","Yes","Yes","No",""
"DatabricksModelRegistry","Reference for DatabricksModelRegistry table in Azure Monitor Logs.","Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.databricks/workspaces","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/databricksmodelregistry","","Yes","","No",""
"DatabricksNotebook","Reference for DatabricksNotebook table in Azure Monitor Logs.","Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.databricks/workspaces","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/databricksnotebook","","Yes","Yes","No",""
"DatabricksOnlineTables","Reference for DatabricksOnlineTables table in Azure Monitor Logs.","Audit, Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.databricks/workspaces","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/databricksonlinetables","","Yes","Yes","No",""
"DatabricksPartnerHub","Reference for DatabricksPartnerHub table in Azure Monitor Logs.","Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.databricks/workspaces","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/databrickspartnerhub","","Yes","","No",""
"DatabricksPredictiveOptimization","Reference for DatabricksPredictiveOptimization table in Azure Monitor Logs.","Audit, Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.databricks/workspaces","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/databrickspredictiveoptimization","","Yes","Yes","No",""
"DatabricksRBAC","Reference for DatabricksRBAC table in Azure Monitor Logs.","Audit, Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.databricks/workspaces","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/databricksrbac","","Yes","Yes","No",""
"DatabricksRFA","Reference for DatabricksRFA table in Azure Monitor Logs.","Audit, Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.databricks/workspaces","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/databricksrfa","","Yes","Yes","No",""
"DatabricksRemoteHistoryService","Reference for DatabricksRemoteHistoryService table in Azure Monitor Logs.","Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.databricks/workspaces","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/databricksremotehistoryservice","","Yes","Yes","No",""
"DatabricksRepos","Reference for DatabricksRepos table in Azure Monitor Logs.","Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.databricks/workspaces","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/databricksrepos","","Yes","","No",""
"DatabricksSQLPermissions","Reference for DatabricksSQLPermissions table in Azure Monitor Logs.","Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.databricks/workspaces","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/databrickssqlpermissions","","Yes","Yes","No",""
"DatabricksSSH","Reference for DatabricksSSH table in Azure Monitor Logs.","Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.databricks/workspaces","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/databricksssh","","Yes","Yes","No",""
"DatabricksSecrets","Reference for DatabricksSecrets table in Azure Monitor Logs.","Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.databricks/workspaces","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/databrickssecrets","","Yes","Yes","No",""
"DatabricksServerlessRealTimeInference","Reference for DatabricksServerlessRealTimeInference table in Azure Monitor Logs.","Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.databricks/workspaces","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/databricksserverlessrealtimeinference","","Yes","","No",""
"DatabricksTables","Reference for DatabricksTables table in Azure Monitor Logs.","Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.databricks/workspaces","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/databrickstables","","No","","No",""
"DatabricksUnityCatalog","Reference for DatabricksUnityCatalog table in Azure Monitor Logs.","Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.databricks/workspaces","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/databricksunitycatalog","","Yes","","No",""
"DatabricksVectorSearch","Reference for DatabricksVectorSearch table in Azure Monitor Logs.","Audit, Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.databricks/workspaces","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/databricksvectorsearch","","Yes","Yes","No",""
"DatabricksWebTerminal","Reference for DatabricksWebTerminal table in Azure Monitor Logs.","Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.databricks/workspaces","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/databrickswebterminal","","Yes","","No",""
"DatabricksWebhookNotifications","Reference for DatabricksWebhookNotifications table in Azure Monitor Logs.","Audit, Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.databricks/workspaces","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/databrickswebhooknotifications","","Yes","Yes","No",""
"DatabricksWorkspace","Reference for DatabricksWorkspace table in Azure Monitor Logs.","Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.databricks/workspaces","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/databricksworkspace","","Yes","Yes","No",""
"DatabricksWorkspaceFiles","Reference for DatabricksWorkspaceFiles table in Azure Monitor Logs.","Audit, Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.databricks/workspaces","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/databricksworkspacefiles","","Yes","Yes","No",""
"Datadog_Events_CL","","","3rd Party (SaaS)","cl_default;collection_method=Custom","3rd Party (SaaS)","","Custom","cl_table_fallback","","","","","","","","","","","","","","","","Yes",""
"DataminrPulse_Alerts_CL","","","3rd Party (SaaS)","cl_solution_partner","3rd Party (SaaS)","Partner","Azure Function (TI Upload API)","connector","Azure Function (TI Upload API)","DataminrPulseAlerts","Dataminr","Pulse Alerts","","","projected","","","No","No","","","","No","Yes",""
"DataverseActivity","Reference for DataverseActivity table in Azure Monitor Logs.","Audit, Security","Cloud","collection_method=Azure Diagnostics","Cloud","Microsoft","Azure Diagnostics","source_azure_monitor","","","","","","","","","-","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/dataverseactivity","","Yes","Yes","No",""
"DefenderForSqlAlerts","","","Unknown","default","","","","","","","","","","","","","","No","No","","","","Yes","No",""
"DefenderForSqlTelemetry","","","Unknown","default","","","","","","","","","","","","","","No","No","","","","Yes","No",""
"DetectionAlerts_CL","","","3rd Party (SaaS)","cl_solution_partner;collection_method=Azure Function","3rd Party (SaaS)","Partner","Azure Function","connector","Azure Function","GSDetectionAlerts","Google","SecOps Detection Alerts","","","projected","","","","","","","","","Yes",""
"Detections_Data_CL","","","3rd Party (SaaS)","cl_solution_partner;collection_method=Azure Function","3rd Party (SaaS)","Partner","Azure Function","connector","Azure Function","VectraXDR","Vectra","XDR","","","projected","","","No","No","","","","Yes","Yes",""
"DevCenterAgentHealthLogs","Reference for DevCenterAgentHealthLogs table in Azure Monitor Logs.","Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.devcenter/devcenters","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/devcenteragenthealthlogs","","Yes","Yes","No",""
"DevCenterBillingEventLogs","Reference for DevCenterBillingEventLogs table in Azure Monitor Logs.","Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.devcenter/devcenters","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/devcenterbillingeventlogs","","Yes","Yes","No",""
"DevCenterConnectionLogs","Reference for DevCenterConnectionLogs table in Azure Monitor Logs.","Audit, Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.devcenter/devcenters","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/devcenterconnectionlogs","","Yes","Yes","No",""
"DevCenterDiagnosticLogs","Reference for DevCenterDiagnosticLogs table in Azure Monitor Logs.","Audit, Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.devcenter/devcenters","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/devcenterdiagnosticlogs","","Yes","Yes","No",""
"DevCenterResourceOperationLogs","Reference for DevCenterResourceOperationLogs table in Azure Monitor Logs.","Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.devcenter/devcenters","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/devcenterresourceoperationlogs","","Yes","Yes","No",""
"DeviceAppCrash","Reference for DeviceAppCrash table in Azure Monitor Logs.","MDE","Defender","category=MDE","Defender,Cloud","","Azure Diagnostics","source_azure_monitor","","","","","","","","","-","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/deviceappcrash","","No","","No",""
"DeviceAppLaunch","Reference for DeviceAppLaunch table in Azure Monitor Logs.","MDE","Defender","category=MDE","Defender","","Defender","tables_reference","","","","","","","","","-","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/deviceapplaunch","","No","","No",""
"DeviceBehaviorEntities","Reference for DeviceBehaviorEntities table in Azure Monitor Logs.","MDE","Defender","category=MDE","Defender","","Defender","tables_reference","","","","","","","","","-","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/devicebehaviorentities","","Yes","Yes","No",""
"DeviceBehaviorInfo","Reference for DeviceBehaviorInfo table in Azure Monitor Logs.","MDE","Defender","category=MDE","Defender","","Defender","tables_reference","","","","","","","","","-","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/devicebehaviorinfo","","Yes","Yes","No",""
"DeviceCalendar","Reference for DeviceCalendar table in Azure Monitor Logs.","MDE","Defender","category=MDE","Defender","","Defender","tables_reference","","","","","","","","","-","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/devicecalendar","","No","","No",""
"DeviceCleanup","Reference for DeviceCleanup table in Azure Monitor Logs.","MDE","Defender","category=MDE","Defender,Cloud","","Azure Diagnostics","source_azure_monitor","","","","","","","","","-","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/devicecleanup","","No","","No",""
"DeviceConnectSession","Reference for DeviceConnectSession table in Azure Monitor Logs.","MDE","Defender","category=MDE","Defender","","Defender","tables_reference","","","","","","","","","-","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/deviceconnectsession","","No","","No",""
"DeviceCustomFileEvents","Reference for DeviceCustomFileEvents table in Azure Monitor Logs.","MDE","Defender","category=MDE","Defender","","Defender","tables_reference","","","","","","","","","-","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/devicecustomfileevents","","Yes","Yes","No",""
"DeviceCustomImageLoadEvents","Reference for DeviceCustomImageLoadEvents table in Azure Monitor Logs.","MDE","Defender","category=MDE","Defender","","Defender","tables_reference","","","","","","","","","-","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/devicecustomimageloadevents","","Yes","","No",""
"DeviceCustomNetworkEvents","Reference for DeviceCustomNetworkEvents table in Azure Monitor Logs.","MDE","Defender","category=MDE","Defender","","Defender","tables_reference","","","","","","","","","-","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/devicecustomnetworkevents","","Yes","Yes","No",""
"DeviceCustomProcessEvents","Reference for DeviceCustomProcessEvents table in Azure Monitor Logs.","MDE","Defender","category=MDE","Defender","","Defender","tables_reference","","","","","","","","","-","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/devicecustomprocessevents","","Yes","","No",""
"DeviceCustomRegistryEvents","Reference for DeviceCustomRegistryEvents table in Azure Monitor Logs.","MDE","Defender","category=MDE","Defender,Cloud","","Azure Diagnostics","source_azure_monitor","","","","","","","","","-","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/devicecustomregistryevents","","Yes","","No",""
"DeviceCustomScriptEvents","Reference for DeviceCustomScriptEvents table in Azure Monitor Logs.","MDE","Defender","category=MDE","Defender","","Defender","tables_reference","","","","","","","","","-","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/devicecustomscriptevents","","Yes","Yes","No",""
"DeviceEtw","Reference for DeviceEtw table in Azure Monitor Logs.","MDE","Defender","category=MDE","Defender","","Defender","tables_reference","","","","","","","","","-","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/deviceetw","","No","","No",""
"DeviceEvents","Reference for DeviceEvents table in Azure Monitor Logs.","MDE","Defender","category=MDE","Defender,Cloud","Microsoft","Native","connector","Native","MicrosoftThreatProtection","Microsoft","Defender XDR","","","projected","","-","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/deviceevents","","Yes","Yes","No",""
"DeviceFileCertificateInfo","Reference for DeviceFileCertificateInfo table in Azure Monitor Logs.","MDE","Defender","category=MDE","Defender,Cloud","Microsoft","Native","connector","Native","MicrosoftThreatProtection","Microsoft","Defender XDR","","","projected","","-","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/devicefilecertificateinfo","","Yes","Yes","No",""
"DeviceFileEvents","Reference for DeviceFileEvents table in Azure Monitor Logs.","MDE","Defender","category=MDE","Defender,Cloud","Microsoft","Native","connector","Native","MicrosoftThreatProtection","Microsoft","Defender XDR","","","projected","","-","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/devicefileevents","","Yes","Yes","No",""
"DeviceHardwareHealth","Reference for DeviceHardwareHealth table in Azure Monitor Logs.","MDE","Defender","category=MDE","Defender,Cloud","","Azure Diagnostics","source_azure_monitor","","","","","","","","","-","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/devicehardwarehealth","","No","","No",""
