Port,TCP,UDP,SCTP,DCCP,Description
5800 ,Unofficial , , , ,VNC Remote Frame Buffer RFB protocol over HTTP OR ProjectWise Server
5900 ,Yes ,Yes , , ,Remote Frame Buffer protocol (RFB) OR Virtual Network Computing (VNC) Remote Frame Buffer RFB protocol
5905 ,Unofficial , , , ,Windows service C:-Program Files-Intel-Intel(R) Online Connect Access-IntelTechnologyAccessService.exe that listens on 127.0.0.1
5931 ,Yes ,Yes , , ,AMMYY admin Remote Control
5938 ,Unofficial ,Unofficial , , ,TeamViewer remote desktop protocol
5984 ,Yes ,Yes , , ,CouchDB database server
5985 ,Yes , , , ,Windows PowerShell Default psSession Port Windows Remote Management Service (WinRM-HTTP)
5986 ,Yes , , , ,Windows PowerShell Default psSession Port Windows Remote Management Service (WinRM-HTTPS)
5988–5989 ,Yes , , , ,CIM-XML (DMTF Protocol)
6000–6063 ,Yes ,Yes , , ,X11—used between an X client and server over the network
6005 ,Unofficial , , , ,Default for BMC Software Control-M/Server—Socket used for communication between Control-M processes—though often changed during installation OR Default for Camfrog chat & cam client
6009 ,Unofficial , , , ,JD Edwards EnterpriseOne ERP system JDENet messaging client listener
6050 ,Unofficial , , , ,Arcserve backup
6051 ,Unofficial , , , ,Arcserve backup
6086 ,Yes , , , ,Peer Distributed Transfer Protocol (PDTP) - FTP like file server in a P2P network
6100 ,Unofficial , , , ,Vizrt System OR Ventrilo authentication for version 3
6101 ,Unofficial , , , ,Backup Exec Agent Browser
6110 ,Yes ,Yes , , ,softcm - HP Softbench CM
6111 ,Yes ,Yes , , ,spc - HP Softbench Sub-Process Control
6112 ,Yes ,Yes , , ,dtspcd - execute commands and launch applications remotely OR Blizzard's Battle.net gaming service and some games - ArenaNet gaming service - Relic gaming service OR Club Penguin Disney online game for kids
6113 ,Unofficial , , , ,Club Penguin Disney online game for kids OR Used by some Blizzard games
6136 ,Unofficial , , , ,ObjectDB database server
6159 ,Yes , , , ,ARINC 840 EFB Application Control Interface
6200 ,Unofficial , , , ,Oracle WebCenter Content Portable: Content Server (With Native UI) and Inbound Refinery
6201 ,Assigned ,Assigned , , ,Thermo-Calc Software AB: Management of service nodes in a processing grid for thermodynamic calculations OR Oracle WebCenter Content Portable: Admin
6225 ,Unofficial , , , ,Oracle WebCenter Content Portable: Content Server Web UI
6227 ,Unofficial , , , ,Oracle WebCenter Content Portable: JavaDB
6240 ,Unofficial , , , ,Oracle WebCenter Content Portable: Capture
6244 ,Unofficial ,Unofficial , , ,Oracle WebCenter Content Portable: Content Server—Intradoc Socket port
6255 ,Unofficial ,Unofficial , , ,Oracle WebCenter Content Portable: Inbound Refinery—Intradoc Socket port
6257 , ,Unofficial , , ,WinMX (see also 6699)
6260 ,Unofficial ,Unofficial , , ,planet M.U.L.E.
6262 ,Unofficial , , , ,Sybase Advantage Database Server
6343 , ,Yes , , ,SFlow - sFlow traffic monitoring
6346 ,Yes ,Yes , , ,gnutella-svc - gnutella (FrostWire - Limewire - Shareaza - etc.)
6347 ,Yes ,Yes , , ,gnutella-rtr - Gnutella alternate
6350 ,Yes ,Yes , , ,App Discovery and Access Protocol
6379 ,Yes , , , ,Redis key-value data store
6389 ,Unofficial , , , ,EMC CLARiiON
6432 ,Yes , , , ,PgBouncer—A connection pooler for PostgreSQL
6436 ,Unofficial , , , ,Leap Motion Websocket Server TLS
6437 ,Unofficial , , , ,Leap Motion Websocket Server
6443 ,Yes , , , ,Kubernetes API server
6444 ,Yes ,Yes , , ,Sun Grid Engine Qmaster Service
6445 ,Yes ,Yes , , ,Sun Grid Engine Execution Service
6463 ,Unofficial , , , ,Discord RPC
6464 ,Unofficial , , , ,Discord RPC
6465 ,Unofficial , , , ,Discord RPC
6466 ,Unofficial , , , ,Discord RPC
6467 ,Unofficial , , , ,Discord RPC
6468 ,Unofficial , , , ,Discord RPC
6469 ,Unofficial , , , ,Discord RPC
6470 ,Unofficial , , , ,Discord RPC
6471 ,Unofficial , , , ,Discord RPC
6472 ,Unofficial , , , ,Discord RPC
6464 ,Yes ,Yes , , ,Port assignment for medical device communication in accordance to IEEE 11073-20701
6502 ,Unofficial ,Unofficial , , ,Netop Remote Control
6513 ,Yes , , , ,NETCONF over TLS
6514 ,Yes , , , ,Syslog over TLS
6515 ,Yes ,Yes , , ,Elipse RPC Protocol (REC)
6516 ,Unofficial , , , ,Windows Admin Center
6543 ,Unofficial , , , ,Pylons project#Pyramid Default Pylons Pyramid web service port
6556 ,Unofficial , , , ,Check MK Agent
6566 ,Yes , , , ,SANE (Scanner Access Now Easy)—SANE network scanner daemon
6560 ,Unofficial , , , ,Speech-Dispatcher daemon
6561 ,Unofficial , , , ,Speech-Dispatcher daemon
6571 ,Unofficial , , , ,Windows Live FolderShare client
6600 ,Yes , , , ,Microsoft Hyper-V Live OR Music Player Daemon (MPD)
6601 ,Yes , , , ,Microsoft Forefront Threat Management Gateway
6602 ,Yes , , , ,Microsoft Windows WSS Communication
6619 ,Yes ,Yes , , ,odette-ftps - Odette File Transfer Protocol (OFTP) over TLS/SSL
6622 ,Yes ,Yes , , ,Multicast FTP
6653 ,Yes ,Assigned , , ,OpenFlow
6660 ,Unofficial , , , ,Internet Relay Chat (IRC)
6661 ,Unofficial , , , ,Internet Relay Chat (IRC)
6662 ,Unofficial , , , ,Internet Relay Chat (IRC)
6663 ,Unofficial , , , ,Internet Relay Chat (IRC)
6664 ,Unofficial , , , ,Internet Relay Chat (IRC)
6665 ,Yes , , , ,Internet Relay Chat (IRC)
6666 ,Yes , , , ,Internet Relay Chat (IRC)
6667 ,Yes , , , ,Internet Relay Chat (IRC)
6668 ,Yes , , , ,Internet Relay Chat (IRC)
6669 ,Yes , , , ,Internet Relay Chat (IRC)
6679 ,Yes ,Yes , , ,Osorno Automation Protocol (OSAUT) OR Internet Relay Chat (IRC) SSL (Secure Internet Relay Chat)—often used
6690 ,Unofficial , , , ,Synology Cloud station
6697 ,Yes , , , ,IRC SSL (Secure Internet Relay Chat)—often used
6699 ,Unofficial , , , ,WinMX (see also 6257)
6715 ,Unofficial , , , ,AberMUD and derivatives default port
6771 , ,Unofficial , , ,BitTorrent Local Peer Discovery
6783 ,Unofficial , , , ,Splashtop Remote server broadcast
6784 ,Unofficial , , , ,Splashtop Remote server broadcast
6785 ,Unofficial , , , ,Splashtop Remote server broadcast
6801 ,Yes ,Yes , , ,ACNET Control System Protocol
6881 ,Unofficial ,Unofficial , , ,BitTorrent beginning of range of ports used most often
6882 ,Unofficial ,Unofficial , , ,BitTorrent beginning of range of ports used most often
6883 ,Unofficial ,Unofficial , , ,BitTorrent beginning of range of ports used most often
6884 ,Unofficial ,Unofficial , , ,BitTorrent beginning of range of ports used most often
6885 ,Unofficial ,Unofficial , , ,BitTorrent beginning of range of ports used most often
6886 ,Unofficial ,Unofficial , , ,BitTorrent beginning of range of ports used most often
6887 ,Unofficial ,Unofficial , , ,BitTorrent beginning of range of ports used most often
6888 ,Yes ,Yes , , ,MUSE OR BitTorrent continuation of range of ports used most often
6889 ,Unofficial ,Unofficial , , ,BitTorrent continuation of range of ports used most often
6890 ,Unofficial ,Unofficial , , ,BitTorrent continuation of range of ports used most often
6891 ,Unofficial ,Unofficial , , ,BitTorrent continuation of range of ports used most often OR Windows Live Messenger (File transfer)
6892 ,Unofficial ,Unofficial , , ,BitTorrent continuation of range of ports used most often OR Windows Live Messenger (File transfer)
6893 ,Unofficial ,Unofficial , , ,BitTorrent continuation of range of ports used most often OR Windows Live Messenger (File transfer)
6894 ,Unofficial ,Unofficial , , ,BitTorrent continuation of range of ports used most often OR Windows Live Messenger (File transfer)
6895 ,Unofficial ,Unofficial , , ,BitTorrent continuation of range of ports used most often OR Windows Live Messenger (File transfer)
6896 ,Unofficial ,Unofficial , , ,BitTorrent continuation of range of ports used most often OR Windows Live Messenger (File transfer)
6897 ,Unofficial ,Unofficial , , ,BitTorrent continuation of range of ports used most often OR Windows Live Messenger (File transfer)
6898 ,Unofficial ,Unofficial , , ,BitTorrent continuation of range of ports used most often OR Windows Live Messenger (File transfer)
6899 ,Unofficial ,Unofficial , , ,BitTorrent continuation of range of ports used most often OR Windows Live Messenger (File transfer)
6900 ,Unofficial ,Unofficial , , ,BitTorrent continuation of range of ports used most often OR Windows Live Messenger (File transfer)
6901 ,Unofficial ,Unofficial , , ,Windows Live Messenger (Voice) OR BitTorrent continuation of range of ports used most often
6902 -– 6968 ,Unofficial ,Unofficial , , ,BitTorrent continuation of range of ports used most often
6924 ,Yes ,Yes , , ,split-ping - ping with RX/TX latency/loss split
6969 ,Yes ,Yes , , ,acmsoda OR BitTorrent tracker
6970 ,Unofficial ,Unofficial , , ,BitTorrent end of range of ports used most often OR QuickTime Streaming Server
6971 ,Unofficial ,Unofficial , , ,BitTorrent end of range of ports used most often OR QuickTime Streaming Server
6972 ,Unofficial ,Unofficial , , ,BitTorrent end of range of ports used most often OR QuickTime Streaming Server
6973 ,Unofficial ,Unofficial , , ,BitTorrent end of range of ports used most often OR QuickTime Streaming Server
6974 ,Unofficial ,Unofficial , , ,BitTorrent end of range of ports used most often OR QuickTime Streaming Server
6975 ,Unofficial ,Unofficial , , ,BitTorrent end of range of ports used most often OR QuickTime Streaming Server
6976 ,Unofficial ,Unofficial , , ,BitTorrent end of range of ports used most often OR QuickTime Streaming Server
6977 ,Unofficial ,Unofficial , , ,BitTorrent end of range of ports used most often OR QuickTime Streaming Server
6978 ,Unofficial ,Unofficial , , ,BitTorrent end of range of ports used most often OR QuickTime Streaming Server
6979 ,Unofficial ,Unofficial , , ,BitTorrent end of range of ports used most often OR QuickTime Streaming Server
6980 ,Unofficial ,Unofficial , , ,BitTorrent end of range of ports used most often OR QuickTime Streaming Server
6981 ,Unofficial ,Unofficial , , ,BitTorrent end of range of ports used most often OR QuickTime Streaming Server
6982 ,Unofficial ,Unofficial , , ,BitTorrent end of range of ports used most often OR QuickTime Streaming Server
6983 ,Unofficial ,Unofficial , , ,BitTorrent end of range of ports used most often OR QuickTime Streaming Server
6984 ,Unofficial ,Unofficial , , ,BitTorrent end of range of ports used most often OR QuickTime Streaming Server
6985 ,Unofficial ,Unofficial , , ,BitTorrent end of range of ports used most often OR QuickTime Streaming Server
6986 ,Unofficial ,Unofficial , , ,BitTorrent end of range of ports used most often OR QuickTime Streaming Server
6987 ,Unofficial ,Unofficial , , ,BitTorrent end of range of ports used most often OR QuickTime Streaming Server
6988 ,Unofficial ,Unofficial , , ,BitTorrent end of range of ports used most often OR QuickTime Streaming Server
6989 ,Unofficial ,Unofficial , , ,BitTorrent end of range of ports used most often OR QuickTime Streaming Server
6990 ,Unofficial ,Unofficial , , ,BitTorrent end of range of ports used most often OR QuickTime Streaming Server
6991 ,Unofficial ,Unofficial , , ,BitTorrent end of range of ports used most often OR QuickTime Streaming Server
6992 ,Unofficial ,Unofficial , , ,BitTorrent end of range of ports used most often OR QuickTime Streaming Server
6993 ,Unofficial ,Unofficial , , ,BitTorrent end of range of ports used most often OR QuickTime Streaming Server
6994 ,Unofficial ,Unofficial , , ,BitTorrent end of range of ports used most often OR QuickTime Streaming Server
6995 ,Unofficial ,Unofficial , , ,BitTorrent end of range of ports used most often OR QuickTime Streaming Server
6996 ,Unofficial ,Unofficial , , ,BitTorrent end of range of ports used most often OR QuickTime Streaming Server
6997 ,Unofficial ,Unofficial , , ,BitTorrent end of range of ports used most often OR QuickTime Streaming Server
6998 ,Unofficial ,Unofficial , , ,BitTorrent end of range of ports used most often OR QuickTime Streaming Server
6999 ,Unofficial ,Unofficial , , ,BitTorrent end of range of ports used most often OR QuickTime Streaming Server
7000 ,Unofficial , , , ,Default for Vuze's built-in HTTPS Bittorrent tracker OR Avira Server Management Console
7001 ,Unofficial , , , ,Avira Server Management Console OR Default for BEA WebLogic Server's HTTP server - though often changed during installation
7002 ,Unofficial , , , ,Default for BEA WebLogic Server's HTTPS server - though often changed during installation
7005 ,Unofficial , , , ,Default for BMC Software Control-M/Server and Control-M/Agent for Agent-to-Server - though often changed during installation
7006 ,Unofficial , , , ,Default for BMC Software Control-M/Server and Control-M/Agent for Server-to-Agent - though often changed during installation
7010 ,Unofficial , , , ,Default for Cisco AON AMC (AON Management Console)
7022 ,Unofficial , , , ,Database mirroring endpoints
7023 , ,Yes , , ,Bryan Wilcutt T2-NMCS Protocol for SatCom Modems
7025 ,Unofficial , , , ,Zimbra LMTP [mailbox]—local mail delivery
7047 ,Unofficial , , , ,Zimbra conversion server
7070 ,Unofficial ,Unofficial , , ,Real Time Streaming Protocol (RTSP) - used by QuickTime Streaming Server. TCP is used by default - UDP is used as an alternate.
7133 ,Unofficial , , , ,Enemy Territory: Quake Wars
7144 ,Unofficial , , , ,Peercast
7145 ,Unofficial , , , ,Peercast
7171 ,Unofficial , , , ,Tibia
7262 ,Yes ,Yes , , ,CNAP (Calypso Network Access Protocol)
7272 ,Yes ,Yes , , ,WatchMe - WatchMe Monitoring
7306 ,Unofficial , , , ,Zimbra mysql [mailbox]
7307 ,Unofficial , , , ,Zimbra mysql [logger]
7312 , ,Unofficial , , ,Sibelius License Server
7396 ,Unofficial , , , ,Web control interface for Folding@home v7.3.6 and later
7400 ,Yes ,Yes , , ,RTPS (Real Time Publish Subscribe) DDS Discovery
7401 ,Yes ,Yes , , ,RTPS (Real Time Publish Subscribe) DDS User-Traffic
7402 ,Yes ,Yes , , ,RTPS (Real Time Publish Subscribe) DDS Meta-Traffic
7471 ,Unofficial , , , ,Stateless Transport Tunneling (STT)
7473 ,Yes , , , ,Rise: The Vieneo Province
7474 ,Yes , , , ,Neo4J Server webadmin
7478 ,Yes , , , ,Default port used by Open iT Server.
7542 ,Yes ,Yes , , ,Saratoga file transfer protocol
7547 ,Yes ,Yes , , ,CPE WAN Management Protocol (CWMP) Technical Report 069
7575 , ,Unofficial , , ,Populous: The Beginning server
7624 ,Yes ,Yes , , ,Instrument Neutral Distributed Interface
7631 ,Yes , , , ,ERLPhase
7634 ,Unofficial , , , ,hddtemp—Utility to monitor hard drive temperature
7652 ,Unofficial , , , ,I2P anonymizing overlay network
7653 ,Unofficial , , , ,I2P anonymizing overlay network
7654 ,Unofficial , , , ,I2P anonymizing overlay network
7655 , ,Unofficial , , ,I2P SAM Bridge Socket API
7656 ,Unofficial , , , ,I2P anonymizing overlay network
7657 ,Unofficial , , , ,I2P anonymizing overlay network
7658 ,Unofficial , , , ,I2P anonymizing overlay network
7659 ,Unofficial , , , ,I2P anonymizing overlay network
7660 ,Unofficial , , , ,I2P anonymizing overlay network
7670 ,Unofficial , , , ,BrettspielWelt BSW Boardgame Portal
7680 ,Unofficial , , , ,Delivery Optimization for Windows 10
7687 ,Yes , , , ,Bolt database connection
7707 , ,Unofficial , , ,Killing Floor
7708 , ,Unofficial , , ,Killing Floor
7717 , ,Unofficial , , ,Killing Floor
7777 ,Unofficial , , , ,iChat server file transfer proxy OR Oracle Cluster File System 2 OR Windows backdoor program tini.exe default OR Windows backdoor program tini.exe default OR Just Cause 2: Multiplayer Mod Server OR Terraria default server OR San Andreas Multiplayer (SA-MP) default port server OR SCP: Secret Laboratory Multiplayer Server OR Unreal Tournament series default server
7788 ,Unofficial ,Unofficial , , ,Unreal Tournament series default server
7831 ,Unofficial , , , ,Default used by Smartlaunch Internet Cafe Administration software
7880 ,Unofficial ,Unofficial , , ,PowerSchool Gradebook Server
7890 ,Unofficial , , , ,Default that will be used by the iControl Internet Cafe Suite Administration software
7915 ,Unofficial , , , ,Default for YSFlight server
7935 ,Unofficial , , , ,Fixed port used for Adobe Flash Debug Player to communicate with a debugger (Flash IDE - Flex Builder or fdb).
7946 ,Unofficial ,Unofficial , , ,Docker Swarm communication among nodes
7979 , ,Unofficial , , ,Used by SilverBluff Studios for communication between servers and clients.
7990 ,Unofficial , , , ,Atlassian Bitbucket (default port)
8000 ,Unofficial , , , ,Commonly used for Internet radio streams such as SHOUTcast - Icecast and iTunes Radio OR DynamoDB Local OR Django Development Webserver OR Python 3 http.server
8005 ,Unofficial , , , ,Tomcat remote shutdown OR PLATO ASCII protocol (RFC 600)
8006 ,Unofficial , , , ,Quest AppAssure 5 API OR Proxmox Virtual Environment admin web interface OR Proxmox Virtual Environment admin web interface
8007 ,Unofficial , , , ,Quest AppAssure 5 Engine
8007 ,Yes , , , ,Proxmox Backup Server admin web interface
8008 ,Unofficial ,Unofficial , , ,Alternative port for HTTP. See also ports 80 and 8080. OR IBM HTTP Server administration default OR iCal - a calendar application by Apple OR Matrix homeserver federation over HTTP
8009 ,Unofficial , , , ,Apache JServ Protocol (ajp13)
8010 ,Unofficial ,No , , ,Buildbot web status page
8042 ,Unofficial , , , ,Orthanc - REST API over HTTP
8069 ,Unofficial , , , ,OpenERP 5.0 XML-RPC protocol
8070 ,Unofficial , , , ,OpenERP 5.0 NET-RPC protocol
8074 ,Yes ,Yes , , ,Gadu-Gadu
8075 ,Unofficial , , , ,Killing Floor web administration interface
8080 ,Yes ,Yes , , ,Alternative port for HTTP. See also ports 80 and 8008. OR Apache Tomcat OR Atlassian JIRA applications
8088 ,Unofficial , , , ,Asterisk management access via HTTP
8089 ,Unofficial ,No , , ,Splunk daemon management OR Fritz!Box automatic TR-069 configuration
8090 ,Unofficial , , , ,Atlassian Confluence OR Coral Content Distribution Network (legacy; 80 and 8080 now supported) OR Matrix identity server
8091 ,Unofficial , , , ,CouchBase web administration
8092 ,Unofficial , , , ,CouchBase API
8096 ,Unofficial , , , ,Emby and Jellyfin HTTP port
8111 ,Unofficial , , , ,JOSM Remote Control
8112 ,Unofficial , , , ,PAC Pacifica Coin
8116 , ,Unofficial , , ,Check Point Cluster Control Protocol
8118 ,Yes , , , ,Privoxy—advertisement-filtering Web proxy
8123 ,Unofficial , , , ,Polipo Web proxy OR Home Assistant Home automation OR BURST P2P
8124 ,Unofficial , , , ,Standard BURST Mining Pool Software Port
8125 ,Unofficial , , , ,BURST Web Interface
8139 ,Unofficial , , , ,Puppet (software) Client agent
8140 ,Yes , , , ,Puppet (software) Master server
8172 ,Unofficial , , , ,Microsoft Remote Administration for IIS Manager
8184 ,Unofficial , , , ,NCSA Brown Dog Data Access Proxy
8194 ,Yes , , , ,Bloomberg Terminal
8195 ,Yes , , , ,Bloomberg Terminal
8200 ,Unofficial , , , ,GoToMyPC OR MiniDLNA media server Web Interface
8222 ,Unofficial , , , ,VMware VI Web Access via HTTP
8243 ,Yes ,Yes , , ,HTTPS listener for Apache Synapse
8245 ,Unofficial , , , ,Dynamic DNS for at least No-IP and DynDNS
8280 ,Yes ,Yes , , ,HTTP listener for Apache Synapse
8281 ,Unofficial , , , ,HTTP Listener for Gatecraft Plugin
8291 ,Unofficial , , , ,Winbox—Default on a MikroTik RouterOS for a Windows application used to administer MikroTik RouterOS
8303 , ,Unofficial , , ,Teeworlds Server
8332 ,Unofficial , , , ,Bitcoin JSON-RPC server
8333 ,Unofficial , , , ,Bitcoin OR VMware VI Web Access via HTTPS
8334 ,Unofficial , , , ,Filestash server (default)
8337 ,Unofficial , , , ,VisualSVN Distributed File System Service (VDFS)
8384 ,Unofficial , , , ,Syncthing web GUI
8388 ,Unofficial , , , ,Shadowsocks proxy server
8400 ,Yes , , , ,Commvault Communications Service (GxCVD - found in all client computers)
8401 ,Yes , , , ,Commvault Server Event Manager (GxEvMgrS - available in CommServe)
8403 ,Yes , , , ,Commvault Firewall (GxFWD - tunnel port for HTTP/HTTPS)
8443 ,Unofficial , , , ,SW Soft Plesk Control Panel OR Apache Tomcat SSL OR Promise WebPAM SSL OR iCal over SSL OR MineOs WebUi
8444 ,Unofficial , , , ,Bitmessage
8448 ,Unofficial ,No , , ,Matrix homeserver federation over HTTPS
8484 ,Unofficial , , , ,MapleStory Login Server
8500 ,Unofficial , , , ,Adobe ColdFusion built-in web server
8530 ,Unofficial , , , ,Windows Server Update Services over HTTP - when using the default role installation settings in Windows Server 2012 and later versions.
8531 ,Unofficial , , , ,Windows Server Update Services over HTTPS - when using the default role installation settings in Windows Server 2012 and later versions.
8555 ,Unofficial , , , ,Symantec DLP OCR Engine
8580 ,Unofficial , , , ,Freegate - an Internet anonymizer and proxy tool
8629 ,Unofficial , , , ,Tibero database
8642 ,Unofficial , , , ,Lotus Notes Traveler auto synchronization for Windows Mobile and Nokia devices
8691 ,Unofficial , , , ,Ultra Fractal - a fractal generation and rendering software application – distributed calculations over networked computers
8765 ,Unofficial ,No , , ,Default port of a local GUN relay peer that the Internet Archive and others use as a decentralized mirror for censorship resistance.
8767 , ,Unofficial , , ,Voice channel of TeamSpeak 2 - a proprietary Voice over IP protocol targeted at gamers
8834 ,Unofficial , , , ,Nessus - a vulnerability scanner – remote XML-RPC web server
8840 ,Unofficial , , , ,Opera Unite - an extensible framework for web applications
8880 ,Yes , , , ,Alternate port of CDDB (Compact Disc Database) protocol - used to look up audio CD (compact disc) information over the Internet. See also port 888. OR IBM WebSphere Application Server SOAP connector
8883 ,Yes ,Yes , , ,Secure MQTT (MQTT over TLS)
8887 ,Unofficial , , , ,HyperVM over HTTP
8888 ,Unofficial , , , ,HyperVM over HTTPS OR Freenet web UI (localhost only) OR Default for IPython / Jupyter notebook dashboards OR MAMP
8889 ,Unofficial , , , ,MAMP
8920 ,Unofficial , , , ,Jellyfin HTTPS port
8983 ,Unofficial , , , ,Apache Solr
8997 ,Unofficial , , , ,Alternate port for I2P Monotone Proxy
8998 ,Unofficial , , , ,I2P Monotone Proxy
8999 ,Unofficial , , , ,Alternate port for I2P Monotone Proxy
9000 ,Unofficial , , , ,SonarQube Web Server OR ClickHouse default port OR DBGp OR SqueezeCenter web server & streaming OR UDPCast OR Play! Framework web server OR Hadoop NameNode default port OR PHP-FPM default port OR QBittorrent's embedded torrent tracker default port
9001 ,Yes ,Yes , , ,ETL Service Manager OR Microsoft SharePoint authoring environment OR cisco-xremote router configuration OR Tor network default OR DBGp Proxy OR HSQLDB default port
9002 ,Unofficial , , , ,Newforma Server comms
9006 ,Reserved , , , ,Tomcat in standalone mode
9030 ,Unofficial , , , ,Tor often used
9042 ,Unofficial , , , ,Apache Cassandra native protocol clients
9043 ,Unofficial , , , ,WebSphere Application Server Administration Console secure
9050 ,Unofficial , , , ,Tor (SOCKS-5 proxy client)
9051 ,Unofficial , , , ,Tor (SOCKS-5 proxy client)
9060 ,Unofficial , , , ,WebSphere Application Server Administration Console
9080 ,Yes ,Yes , , ,glrpc - Groove Collaboration software GLRPC OR WebSphere Application Server HTTP Transport (port 1) default OR Remote Potato by FatAttitude - Windows Media Center addon OR ServerWMC - Windows Media Center addon
9081 ,Unofficial , , , ,Zerto ZVM to ZVM communication
9090 ,Unofficial , , , ,Prometheus metrics server OR Openfire Administration Console OR SqueezeCenter control (CLI) OR Cherokee Admin Panel
9091 ,Unofficial , , , ,Openfire Administration Console (SSL Secured) OR Transmission (BitTorrent client) Web Interface
9092 ,Unofficial , , , ,H2 (DBMS) Database Server OR Apache Kafka A Distributed Streaming Platform
9100 ,Yes ,Assigned , , ,PDL Data Stream - used for printing to certain network printers
9101 ,Yes ,Yes , , ,Bacula Director
9102 ,Yes ,Yes , , ,Bacula File Daemon
9103 ,Yes ,Yes , , ,Bacula Storage Daemon
9119 ,Yes ,Yes , , ,MXit Instant Messenger
9150 ,Unofficial , , , ,Tor Browser
9191 ,Unofficial , , , ,Sierra Wireless Airlink
9199 ,Unofficial , , , ,Avtex LLC—qStats
9200 ,Unofficial , , , ,Elasticsearch—default Elasticsearch port
9217 ,Unofficial , , , ,iPass Platform Service
9293 ,Unofficial , , , ,Sony PlayStation RemotePlay
9295 ,Unofficial ,Unofficial , , ,Sony PlayStation Remote Play Session creation communication port
9296 , ,Unofficial , , ,Sony PlayStation Remote Play
9897 , ,Unofficial , , ,Sony PlayStation Remote Play Video stream
9300 ,Unofficial , , , ,IBM Cognos BI
9303 , ,Unofficial , , ,D-Link Shareport Share storage and MFP printers
9306 ,Yes , , , ,Sphinx Native API
9309 ,Unofficial ,Unofficial , , ,Sony PlayStation Vita Host Collaboration WiFi Data Transfer
9312 ,Yes , , , ,Sphinx SphinxQL
9332 ,Unofficial , , , ,Litecoin JSON-RPC server
9333 ,Unofficial , , , ,Litecoin
9339 ,Unofficial , , , ,Used by all Supercell games such as Brawl Stars and Clash of Clans - mobile freemium strategy video games
9389 ,Yes ,Yes , , ,adws - Microsoft AD DS Web Services - Powershell uses this port
9392 ,Unofficial ,No , , ,OpenVAS Greenbone Security Assistant web interface
9418 ,Yes ,Yes , , ,git - Git pack transfer service
9419 ,Unofficial , , , ,MooseFS distributed file system – master control port
9420 ,Unofficial , , , ,MooseFS distributed file system – master command port
9421 ,Unofficial , , , ,MooseFS distributed file system – master client port
9422 ,Unofficial , , , ,MooseFS distributed file system – Chunkservers
9425 ,Unofficial , , , ,MooseFS distributed file system – CGI server
9443 ,Unofficial , , , ,VMware Websense Triton console (HTTPS port used for accessing and administrating a vCenter Server via the Web Management Interface) OR NCSA Brown Dog Data Tilling Service
9535 ,Yes ,Yes , , ,mngsuite - LANDesk Management Suite Remote Control
9536 ,Yes ,Yes , , ,laes-bf - IP Fabrics Surveillance buffering function
9600 ,No ,Unofficial , , ,Factory Interface Network Service (FINS) - a network protocol used by Omron programmable logic controllers
9669 ,Unofficial ,No , , ,VGG Image Search Engine VISE
9675 ,Unofficial ,Unofficial , , ,Spiceworks Desktop - IT Helpdesk Software
9676 ,Unofficial ,Unofficial , , ,Spiceworks Desktop - IT Helpdesk Software
9695 ,Yes , , , ,Content centric networking (CCN - CCNx)
9735 ,Unofficial , , , ,Bitcoin Lightning Network
9785 ,Unofficial ,Unofficial , , ,Viber
9800 ,Yes ,Yes , , ,WebDAV Source OR WebCT e-learning portal
9875 ,Unofficial , , , ,Club Penguin Disney online game for kids
9898 ,Unofficial , , , ,Tripwire—File Integrity Monitoring Software
9899 , ,Yes , , ,SCTP tunneling (port number used in SCTP packets encapsulated in UDP - RFC 6951)
9901 ,Unofficial , , , ,Banana for Apache Solr
9981 ,Unofficial , , , ,Tvheadend HTTP server (web interface)
9982 ,Unofficial , , , ,Tvheadend HTSP server (Streaming protocol)
9987 ,Unofficial ,No , , ,TeamSpeak 3 server default (voice) port (for the conflicting service see the IANA list)
9993 , ,Unofficial , , ,ZeroTier Default port for ZeroTier
9997 ,Unofficial , , , ,Splunk port for communication between the forwarders and indexers
9999 ,Unofficial , , , ,Urchin Web Analytics
9999 ,Unofficial , , , ,Dash (cryptocurrency)
10000 ,Yes ,Yes , , ,Network Data Management Protocol (NDMP) Control stream for network backup and restore. OR BackupExec OR Webmin - Web-based Unix/Linux system administration tool (default port)
10000 –- 20000 ,No ,Unofficial , , ,Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10001 , ,Unofficial , , ,Ubiquiti UniFi access points broadcast to 255.255.255.255:10001 (UDP) to locate the controller(s)
10009 ,Unofficial ,Unofficial , , ,CrossFire - a multiplayer online First Person Shooter
10011 ,Unofficial ,No , , ,TeamSpeak 3 ServerQuery
10024 ,Unofficial , , , ,Zimbra smtp [mta]—to amavis from postfix
10025 ,Unofficial , , , ,Zimbra smtp [mta]—back to postfix from amavis
10042 ,Unofficial , , , ,Mathoid server
10050 ,Yes ,Yes , , ,Zabbix agent
10051 ,Yes ,Yes , , ,Zabbix trapper
10110 ,Yes ,Yes , , ,NMEA 0183 Navigational Data. Transport of NMEA 0183 sentences over TCP or UDP
10172 ,Unofficial , , , ,Intuit Quickbooks client
10200 ,Unofficial , , , ,FRISK Software International's fpscand virus scanning daemon for Unix platforms OR FRISK Software International's f-protd virus scanning daemon for Unix platforms
10201 ,Unofficial , , , ,FRISK Software International's f-protd virus scanning daemon for Unix platforms
