Alert,Description,Tactic,Severity,Provider,Detection Service
Unusual upload of .cspkg to a storage account,"Indicates that an Azure Cloud Services package (.cspkg file) has been uploaded to a storage account in an unusual way, compared to recent activity on this account. A potential cause is that an attacker has been preparing to deploy malicious code from your storage account to an Azure cloud service.Applies to: Azure Blob Storage, Azure Data Lake Storage Gen2",LateralMovement / Execution,Medium,Azure Storage,Azure Defender
Unusual upload of .exe to a storage account,"Indicates that an .exe file has been uploaded to a storage account in an unusual way, compared to recent activity on this account. A potential cause is that an attacker has uploaded a malicious executable file to your storage account, or that a legitimate user has uploaded an executable file.Applies to: Azure Blob Storage, Azure Files, Azure Data Lake Storage Gen2",LateralMovement / Execution,Medium,Azure Storage,Azure Defender
PREVIEW - Access from an unusual location to a Cosmos DB account,"Indicates that there was a change in the access pattern to an Azure Cosmos DB account. Someone has accessed this account from an unfamiliar IP address, compared to recent activity. Either an attacker has accessed the account, or a legitimate user has accessed it from a new and unusual geographical location. An example of the latter is remote maintenance from a new application or developer.",Exploitation,Medium,Azure Cosmos DB (Preview),Azure Defender
PREVIEW - Unusual amount of data extracted from a Cosmos DB account,"Indicates that there was a change in the data extraction pattern from an Azure Cosmos DB account. Someone has extracted an unusual amount of data compared to recent activity. An attacker might have extracted a large amount of data from an Azure Cosmos DB database (for example, data exfiltration or leakage, or an unauthorized transfer of data). Or, a legitimate user or application might have extracted an unusual amount of data from a container (for example, for maintenance backup activity).",Exfiltration,Medium,Azure Cosmos DB (Preview),Azure Defender
Network communication with a malicious machine detected,"Network traffic analysis indicates that your machine (IP %{Victim IP}) has communicated with what is possibly a Command and Control center. When the compromised resource is a load balancer or an application gateway, the suspected activity might indicate that one or more of the resources in the backend pool (of the load balancer or application gateway) has communicated with what is possibly a Command and Control center.",-,Medium,Azure Network Layer,Azure Defender
Possible compromised machine detected,"Threat intelligence indicates that your machine (at IP %{Machine IP}) may have been compromised by a malware of type Conficker. Conficker was a computer worm that targets the Microsoft Windows operating system and was first detected in November 2008. Conficker infected millions of computers including government, business and home computers in over 200 countries/regions, making it the largest known computer worm infection since the 2003 Welchia worm.",-,Medium,Azure Network Layer,Azure Defender
Possible incoming %{Service Name} brute force attempts detected,"Network traffic analysis detected incoming %{Service Name} communication to %{Victim IP}, associated with your resource %{Compromised Host} from %{Attacker IP}. When the compromised resource is a load balancer or an application gateway, the suspected incoming traffic has been forwarded to one or more of the resources in the backend pool (of the load balancer or application gateway). Specifically, sampled network data shows suspicious activity between %{Start Time} and %{End Time} on port %{Victim Port}. This activity is consistent with brute force attempts against %{Service Name} servers.",-,Medium,Azure Network Layer,Azure Defender
Possible incoming SQL brute force attempts detected,"Network traffic analysis detected incoming SQL communication to %{Victim IP}, associated with your resource %{Compromised Host}, from %{Attacker IP}. When the compromised resource is a load balancer or an application gateway, the suspected incoming traffic has been forwarded to one or more of the resources in the backend pool (of the load balancer or application gateway). Specifically, sampled network data shows suspicious activity between %{Start Time} and %{End Time} on port %{Port Number} (%{SQL Service Type}). This activity is consistent with brute force attempts against SQL servers.",-,Medium,Azure Network Layer,Azure Defender
Possible outgoing denial-of-service attack detected,"Network traffic analysis detected anomalous outgoing activity originating from %{Compromised Host}, a resource in your deployment. This activity may indicate that your resource was compromised and is now engaged in denial-of-service attacks against external endpoints. When the compromised resource is a load balancer or an application gateway, the suspected activity might indicate that one or more of the resources in the backend pool (of the load balancer or application gateway) was compromised. Based on the volume of connections, we believe that the following IPs are possibly the targets of the DOS attack: %{Possible Victims}. Note that it is possible that the communication to some of these IPs is legitimate.",-,Medium,Azure Network Layer,Azure Defender
Possible outgoing port scanning activity detected,"Network traffic analysis detected suspicious outgoing traffic from %{Compromised Host}. This traffic may be a result of a port scanning activity. When the compromised resource is a load balancer or an application gateway, the suspected outgoing traffic has been originated from to one or more of the resources in the backend pool (of the load balancer or application gateway). If this behavior is intentional, please note that performing port scanning is against Azure Terms of service. If this behavior is unintentional, it may mean your resource has been compromised.",-,Medium,Azure Network Layer,Azure Defender
Suspicious incoming RDP network activity from multiple sources,"Network traffic analysis detected anomalous incoming Remote Desktop Protocol (RDP) communication to %{Victim IP}, associated with your resource %{Compromised Host}, from multiple sources. When the compromised resource is a load balancer or an application gateway, the suspected incoming traffic has been forwarded to one or more of the resources in the backend pool (of the load balancer or application gateway). Specifically, sampled network data shows %{Number of Attacking IPs} unique IPs connecting to your resource, which is considered abnormal for this environment. This activity may indicate an attempt to brute force your RDP end point from multiple hosts (Botnet)",-,Medium,Azure Network Layer,Azure Defender
Suspicious incoming RDP network activity,"Network traffic analysis detected anomalous incoming Remote Desktop Protocol (RDP) communication to %{Victim IP}, associated with your resource %{Compromised Host}, from %{Attacker IP}. When the compromised resource is a load balancer or an application gateway, the suspected incoming traffic has been forwarded to one or more of the resources in the backend pool (of the load balancer or application gateway). Specifically, sampled network data shows %{Number of Connections} incoming connections to your resource, which is considered abnormal for this environment. This activity may indicate an attempt to brute force your RDP end point",-,Medium,Azure Network Layer,Azure Defender
Suspicious incoming SSH network activity from multiple sources,"Network traffic analysis detected anomalous incoming SSH communication to %{Victim IP}, associated with your resource %{Compromised Host}, from multiple sources. When the compromised resource is a load balancer or an application gateway, the suspected incoming traffic has been forwarded to one or more of the resources in the backend pool (of the load balancer or application gateway). Specifically, sampled network data shows %{Number of Attacking IPs} unique IPs connecting to your resource, which is considered abnormal for this environment. This activity may indicate an attempt to brute force your SSH end point from multiple hosts (Botnet)",-,Medium,Azure Network Layer,Azure Defender
Suspicious incoming SSH network activity,"Network traffic analysis detected anomalous incoming SSH communication to %{Victim IP}, associated with your resource %{Compromised Host}, from %{Attacker IP}. When the compromised resource is a load balancer or an application gateway, the suspected incoming traffic has been forwarded to one or more of the resources in the backend pool (of the load balancer or application gateway). Specifically, sampled network data shows %{Number of Connections} incoming connections to your resource, which is considered abnormal for this environment. This activity may indicate an attempt to brute force your SSH end point",-,Medium,Azure Network Layer,Azure Defender
Suspicious outgoing %{Attacked Protocol} traffic detected,"Network traffic analysis detected suspicious outgoing traffic from %{Compromised Host} to destination port %{Most Common Port}. When the compromised resource is a load balancer or an application gateway, the suspected outgoing traffic has been originated from to one or more of the resources in the backend pool (of the load balancer or application gateway). This behavior may indicate that your resource is taking part in %{Attacked Protocol} brute force attempts or port sweeping attacks.",-,Medium,Azure Network Layer,Azure Defender
Suspicious outgoing RDP network activity to multiple destinations,"Network traffic analysis detected anomalous outgoing Remote Desktop Protocol (RDP) communication to multiple destinations originating from %{Compromised Host} (%{Attacker IP}), a resource in your deployment. When the compromised resource is a load balancer or an application gateway, the suspected outgoing traffic has been originated from to one or more of the resources in the backend pool (of the load balancer or application gateway). Specifically, sampled network data shows your machine connecting to %{Number of Attacked IPs} unique IPs, which is considered abnormal for this environment. This activity may indicate that your resource was compromised and is now used to brute force external RDP end points. Note that this type of activity could possibly cause your IP to be flagged as malicious by external entities.",-,High,Azure Network Layer,Azure Defender
Suspicious outgoing RDP network activity,"Network traffic analysis detected anomalous outgoing Remote Desktop Protocol (RDP) communication to %{Victim IP} originating from %{Compromised Host} (%{Attacker IP}), a resource in your deployment. When the compromised resource is a load balancer or an application gateway, the suspected outgoing traffic has been originated from to one or more of the resources in the backend pool (of the load balancer or application gateway). Specifically, sampled network data shows %{Number of Connections} outgoing connections from your resource, which is considered abnormal for this environment. This activity may indicate that your machine was compromised and is now used to brute force external RDP end points. Note that this type of activity could possibly cause your IP to be flagged as malicious by external entities.",-,High,Azure Network Layer,Azure Defender
Suspicious outgoing SSH network activity to multiple destinations,"Network traffic analysis detected anomalous outgoing SSH communication to multiple destinations originating from %{Compromised Host} (%{Attacker IP}), a resource in your deployment. When the compromised resource is a load balancer or an application gateway, the suspected outgoing traffic has been originated from to one or more of the resources in the backend pool (of the load balancer or application gateway). Specifically, sampled network data shows your resource connecting to %{Number of Attacked IPs} unique IPs, which is considered abnormal for this environment. This activity may indicate that your resource was compromised and is now used to brute force external SSH end points. Note that this type of activity could possibly cause your IP to be flagged as malicious by external entities.",-,Medium,Azure Network Layer,Azure Defender
Suspicious outgoing SSH network activity,"Network traffic analysis detected anomalous outgoing SSH communication to %{Victim IP} originating from %{Compromised Host} (%{Attacker IP}), a resource in your deployment. When the compromised resource is a load balancer or an application gateway, the suspected outgoing traffic has been originated from to one or more of the resources in the backend pool (of the load balancer or application gateway). Specifically, sampled network data shows %{Number of Connections} outgoing connections from your resource, which is considered abnormal for this environment. This activity may indicate that your resource was compromised and is now used to brute force external SSH end points. Note that this type of activity could possibly cause your IP to be flagged as malicious by external entities.",-,Medium,Azure Network Layer,Azure Defender
Traffic detected from IP addresses recommended for blocking,"Azure Security Center detected inbound traffic from IP addresses that are recommended to be blocked. This typically occurs when this IP address doesn't communicate regularly with this resource. Alternatively, the IP address has been flagged as malicious by Security Center's threat intelligence sources.",Probing,Low,Azure Network Layer,Azure Defender
PREVIEW - Activity from anonymous IP addresses,"Users activity from an IP address that has been identified as an anonymous proxy IP address has been detected.These proxies are used by people who want to hide their device's IP address, and can be used for malicious intent. This detection uses a machine learning algorithm that reduces false positives, such as mis-tagged IP addresses that are widely used by users in the organization.",-,Medium,Azure Resource Manager (Preview),Azure Defender
PREVIEW - Activity from infrequent country,Activity from a location that wasn't recently or ever visited by any user in the organization has occurred.This detection considers past activity locations to determine new and infrequent locations. The anomaly detection engine stores information about previous locations used by users in the organization.,-,Medium,Azure Resource Manager (Preview),Azure Defender
PREVIEW - Impossible travel activity,"Two user activities (in a single or multiple sessions) have occurred, originating from geographically distant locations. This occurs within a time period shorter than the time it would have taken the user to travel from the first location to the second. This indicates that a different user is using the same credentials.This detection uses a machine learning algorithm that ignores obvious false positives contributing to the impossible travel conditions, such as VPNs and locations regularly used by other users in the organization. The detection has an initial learning period of seven days, during which it learns a new user's activity pattern.",-,Medium,Azure Resource Manager (Preview),Azure Defender
PREVIEW - Azurite toolkit run detected,A known cloud-environment reconnaissance toolkit run has been detected in your environment. The tool Azurite can be used by an attacker (or penetration tester) to map your subscriptions' resources and identify insecure configurations.,-,High,Azure Resource Manager (Preview),Azure Defender
PREVIEW - Suspicious management session using PowerShell detected,"Subscription activity logs analysis has detected suspicious behavior. A principal that doesn't regularly use PowerShell to manage the subscription environment is now using PowerShell, and performing actions that can secure persistence for an attacker.",Persistence,Medium,Azure Resource Manager (Preview),Azure Defender
PREVIEW - Suspicious management session using an inactive account detected,Subscription activity logs analysis has detected suspicious behavior. A principal not in use for a long period of time is now performing actions that can secure persistence for an attacker.,Persistence,Medium,Azure Resource Manager (Preview),Azure Defender
"PREVIEW – MicroBurst toolkit ""Get-AzureDomainInfo"" function run detected","A known cloud-environment reconnaissance toolkit run has been detected in your environment. The tool ""MicroBurst"" (see https://github.com/NetSPI/MicroBurst) can be used by an attacker (or penetration tester) to map your subscription(s) resources, identify insecure configurations, and leak confidential information.",-,High,Azure Resource Manager (Preview),Azure Defender
"PREVIEW – MicroBurst toolkit ""Get-AzurePasswords"" function run detected","A known cloud-environment reconnaissance toolkit run has been detected in your environment. The tool ""MicroBurst"" (see https://github.com/NetSPI/MicroBurst) can be used by an attacker (or penetration tester) to map your subscription(s) resources, identify insecure configurations, and leak confidential information.",-,High,Azure Resource Manager (Preview),Azure Defender
PREVIEW – Suspicious management session using Azure portal detected,"Analysis of your subscription activity logs has detected a suspicious behavior. A principal that doesn't regularly use the Azure portal (Ibiza) to manage the subscription environment (hasn't used Azure portal to manage for the last 45 days, or a subscription that it is actively managing), is now using the Azure portal and performing actions that can secure persistence for an attacker.",-,Medium,Azure Resource Manager (Preview),Azure Defender
Access from a TOR exit node to a key vaultKV_TORAccess,A key vault has been accessed from a known TOR exit node. This could be an indication that a threat actor has accessed the key vault and is using the TOR network to hide their source location. We recommend further investigations.,CredentialAccess,Medium,Azure Key Vault (Preview),Azure Defender
High volume of operations in a key vaultKV_OperationVolumeAnomaly,"An anomalous number of key vault operations were performed by a user, service principal, and/or a specific key vault. This anomalous activity pattern may be legitimate, but it could be an indication that a threat actor has gained access to the key vault and the secrets contained within it. We recommend further investigations.",CredentialAccess,Medium,Azure Key Vault (Preview),Azure Defender
Suspicious policy change and secret query in a key vaultKV_PutGetAnomaly,"A user or service principal has performed an anomalous Vault Put policy change operation followed by one or more Secret Get operations. This pattern is not normally performed by the specified user or service principal. This may be legitimate activity, but it could be an indication that a threat actor has updated the key vault policy to access previously inaccessible secrets. We recommend further investigations.",CredentialAccess,Medium,Azure Key Vault (Preview),Azure Defender
Suspicious secret listing and query in a key vaultKV_ListGetAnomaly,"A user or service principal has performed an anomalous Secret List operation followed by one or more Secret Get operations. This pattern is not normally performed by the specified user or service principal and is typically associated with secret dumping. This may be legitimate activity, but it could be an indication that a threat actor has gained access to the key vault and is trying to discover secrets that can be used to move laterally through your network and/or gain access to sensitive resources. We recommend further investigations.",CredentialAccess,Medium,Azure Key Vault (Preview),Azure Defender
Unusual application accessed a key vaultKV_AppAnomaly,"A key vault has been accessed by a service principal that does not normally access it. This anomalous access pattern may be legitimate activity, but it could be an indication that a threat actor has gained access to the key vault in an attempt to access the secrets contained within it. We recommend further investigations.",CredentialAccess,Medium,Azure Key Vault (Preview),Azure Defender
Unusual operation pattern in a key vaultKV_OperationPatternAnomaly,"An anomalous pattern of key vault operations was performed by a user, service principal, and/or a specific key vault. This anomalous activity pattern may be legitimate, but it could be an indication that a threat actor has gained access to the key vault and the secrets contained within it. We recommend further investigations.",CredentialAccess,Medium,Azure Key Vault (Preview),Azure Defender
Unusual user accessed a key vaultKV_UserAnomaly,"A key vault has been accessed by a user that does not normally access it. This anomalous access pattern may be legitimate activity, but it could be an indication that a threat actor has gained access to the key vault in an attempt to access the secrets contained within it. We recommend further investigations.",CredentialAccess,Medium,Azure Key Vault (Preview),Azure Defender
Unusual user-application pair accessed a key vaultKV_UserAppAnomaly,"A key vault has been accessed by a user-service principal pair that does not normally access it. This anomalous access pattern may be legitimate activity, but it could be an indication that a threat actor has gained access to the key vault in an attempt to access the secrets contained within it. We recommend further investigations.",CredentialAccess,Medium,Azure Key Vault (Preview),Azure Defender
User accessed high volume of key vaultsKV_AccountVolumeAnomaly,"A user or service principal has accessed an anomalously high volume of key vaults. This anomalous access pattern may be legitimate activity, but it could be an indication that a threat actor has gained access to multiple key vaults in an attempt to access the secrets contained within them. We recommend further investigations.",CredentialAccess,Medium,Azure Key Vault (Preview),Azure Defender
DDoS Attack detected for Public IP,DDoS Attack detected for Public IP (IP address) and being mitigated.,Probing,High,Azure DDoS Protection,Azure Defender
DDoS Attack mitigated for Public IP,DDoS Attack mitigated for Public IP (IP address).,Probing,Low,Azure DDoS Protection,Azure Defender
Anonymous IP address,"This risk detection type indicates sign-ins from an anonymous IP address (for example, Tor browser or anonymous VPN). These IP addresses are typically used by actors who want to hide their login telemetry (IP address, location, device, etc.) for potentially malicious intent.",N.A.,N.A.,N.A.,Azure Identity Protection Center (IPC)
Atypical travel,"This risk detection type identifies two sign-ins originating from geographically distant locations, where at least one of the locations may also be atypical for the user, given past behavior. Among several other factors, this machine learning algorithm takes into account the time between the two sign-ins and the time it would have taken for the user to travel from the first location to the second, indicating that a different user is using the same credentials. The algorithm ignores obvious ""false positives"" contributing to the impossible travel conditions, such as VPNs and locations regularly used by other users in the organization. The system has an initial learning period of the earliest of 14 days or 10 logins, during which it learns a new user's sign-in behavior.",N.A.,N.A.,N.A.,Azure Identity Protection Center (IPC)
Malware linked IP address,This risk detection type indicates sign-ins from IP addresses infected with malware that is known to actively communicate with a bot server. This detection is determined by correlating IP addresses of the user's device against IP addresses that were in contact with a bot server while the bot server was active.,N.A.,N.A.,N.A.,Azure Identity Protection Center (IPC)
Unfamiliar sign-in properties,"This risk detection type considers past sign-in history (IP, Latitude / Longitude and ASN) to look for anomalous sign-ins. The system stores information about previous locations used by a user, and considers these ""familiar"" locations. The risk detection is triggered when the sign-in occurs from a location that's not already in the list of familiar locations. Newly created users will be in ""learning mode"" for a period of time in which unfamiliar sign-in properties risk detections will be turned off while our algorithms learn the user's behavior. The learning mode duration is dynamic and depends on how much time it takes the algorithm to gather enough information about the user's sign-in patterns. The minimum duration is five days. A user can go back into learning mode after a long period of inactivity. The system also ignores sign-ins from familiar devices, and locations that are geographically close to a familiar location. We also run this detection for basic authentication (or legacy protocols). Because these protocols do not have modern properties such as client ID, there is limited telemetry to reduce false positives. We recommend our customers to move to modern authentication.",N.A.,N.A.,N.A.,Azure Identity Protection Center (IPC)
Admin confirmed user compromised,"This detection indicates an admin has selected 'Confirm user compromised' in the Risky users UI or using riskyUsers API. To see which admin has confirmed this user compromised, check the user's risk history (via UI or API).",N.A.,N.A.,N.A.,Azure Identity Protection Center (IPC)
Malicious IP address,This detection indicates sign-in from a malicious IP address. An IP address is considered malicious based on high failure rates because of invalid credentials received from the IP address or other IP reputation sources.,N.A.,N.A.,N.A.,Azure Identity Protection Center (IPC)
Suspicious inbox manipulation rules,"This detection is discovered by Microsoft Cloud App Security (MCAS). This detection profiles your environment and triggers alerts when suspicious rules that delete or move messages or folders are set on a user's inbox. This detection may indicate that the user's account is compromised, that messages are being intentionally hidden, and that the mailbox is being used to distribute spam or malware in your organization.",N.A.,N.A.,N.A.,Azure Identity Protection Center (IPC)
Password spray,A password spray attack is where multiple usernames are attacked using common passwords in a unified brute force manner to gain unauthorized access. This risk detection is triggered when a password spray attack has been performed.,N.A.,N.A.,N.A.,Azure Identity Protection Center (IPC)
Impossible travel,"This detection is discovered by Microsoft Cloud App Security (MCAS). This detection identifies two user activities (is a single or multiple sessions) originating from geographically distant locations within a time period shorter than the time it would have taken the user to travel from the first location to the second, indicating that a different user is using the same credentials.",N.A.,N.A.,N.A.,Azure Identity Protection Center (IPC)
Additional risk detected,"This detection indicates that one of the above premium detections was detected. Since the premium detections are visible only to Azure AD Premium P2 customers, they are titled ""additional risk detected"" for customers without Azure AD Premium P2 licenses.",N.A.,N.A.,N.A.,Azure Identity Protection Center (IPC)
Account enumeration reconnaissance,N.A.,Discovery,Medium,N.A.,Microsoft Defender for Identity
Data exfiltration over SMB,N.A.,"Exfiltration,Lateral movement,Command and control",High,N.A.,Microsoft Defender for Identity
Honeytoken activity,N.A.,"Credential access,Discovery",Medium,N.A.,Microsoft Defender for Identity
Malicious request of Data Protection API master key,N.A.,Credential access,High,N.A.,Microsoft Defender for Identity
Network mapping reconnaissance (DNS),N.A.,Discovery,Medium,N.A.,Microsoft Defender for Identity
Remote code execution attempt,N.A.,"Execution,Persistence,Privilege escalation,Defense evasion,Lateral movement",Medium,N.A.,Microsoft Defender for Identity
Remote code execution over DNS,N.A.,"Privilege escalation,Lateral movement",Medium,N.A.,Microsoft Defender for Identity
Security principal reconnaissance (LDAP),N.A.,Credential access,Medium,N.A.,Microsoft Defender for Identity
"Suspected brute force attack (Kerberos, NTLM)",N.A.,Credential access,Medium,N.A.,Microsoft Defender for Identity
Suspected brute force attack (LDAP),N.A.,Credential access,Medium,N.A.,Microsoft Defender for Identity
Suspected brute force attack (SMB),N.A.,Lateral movement,Medium,N.A.,Microsoft Defender for Identity
Suspected DCShadow attack (domain controller promotion),N.A.,Defense evasion,High,N.A.,Microsoft Defender for Identity
Suspected DCShadow attack (domain controller replication request),N.A.,Defense evasion,High,N.A.,Microsoft Defender for Identity
Suspected DCSync attack (replication of directory services),N.A.,"Persistence,Credential access",High,N.A.,Microsoft Defender for Identity
Suspected Golden Ticket usage (encryption downgrade),N.A.,"Privilege Escalation,Lateral movement,Persistence",Medium,N.A.,Microsoft Defender for Identity
Suspected Golden Ticket usage (forged authorization data),N.A.,"Privilege escalation,Lateral movement,Persistence",High,N.A.,Microsoft Defender for Identity
Suspected Golden Ticket usage (nonexistent account),N.A.,"Privilege Escalation,Lateral movement,Persistence",High,N.A.,Microsoft Defender for Identity
Suspected Golden Ticket usage (ticket anomaly),N.A.,"Privilege Escalation,Lateral movement,Persistence",High,N.A.,Microsoft Defender for Identity
Suspected Golden Ticket usage (time anomaly),N.A.,"Privilege Escalation,Lateral movement,Persistence",High,N.A.,Microsoft Defender for Identity
Suspected identity theft (pass-the-hash),N.A.,Lateral movement,High,N.A.,Microsoft Defender for Identity
Suspected identity theft (pass-the-ticket),N.A.,Lateral movement,High or Medium,N.A.,Microsoft Defender for Identity
Suspected NTLM authentication tampering,N.A.,"Privilege escalation, Lateral movement",Medium,N.A.,Microsoft Defender for Identity
Suspected NTLM relay attack,N.A.,"Privilege escalation, Lateral movement",Medium or Low if observed using signed NTLM v2 protocol,N.A.,Microsoft Defender for Identity
Suspected overpass-the-hash attack (Kerberos),N.A.,Lateral movement,Medium,N.A.,Microsoft Defender for Identity
Suspected skeleton key attack (encryption downgrade),N.A.,"Lateral movement,Persistence",Medium,N.A.,Microsoft Defender for Identity
Suspected SMB packet manipulation (CVE-2020-0796 exploitation) - (preview),N.A.,Lateral movement,High,N.A.,Microsoft Defender for Identity
Suspected use of Metasploit hacking framework,N.A.,Lateral movement,Medium,N.A.,Microsoft Defender for Identity
Suspected WannaCry ransomware attack,N.A.,Lateral movement,Medium,N.A.,Microsoft Defender for Identity
Suspicious additions to sensitive groups,N.A.,"Credential access,Persistence",Medium,N.A.,Microsoft Defender for Identity
Suspicious communication over DNS,N.A.,Exfiltration,Medium,N.A.,Microsoft Defender for Identity
Suspicious service creation,N.A.,"Execution,Persistence,Privilege Escalation,Defense evasion,Lateral movement",Medium,N.A.,Microsoft Defender for Identity
Suspicious VPN connection,N.A.,"Persistence,Defense evasion",Medium,N.A.,Microsoft Defender for Identity
User and group membership reconnaissance (SAMR),N.A.,Discovery,Medium,N.A.,Microsoft Defender for Identity
User and IP address reconnaissance (SMB),N.A.,Discovery,Medium,N.A.,Microsoft Defender for Identity
Activity from anonymous IP address,N.A.,InitialAccess,N.A.,N.A.,Microsoft Cloud Application Security (MCAS)
Activity from infrequent country,N.A.,InitialAccess,N.A.,N.A.,Microsoft Cloud Application Security (MCAS)
Activity from suspicious IP addresses,N.A.,InitialAccess,N.A.,N.A.,Microsoft Cloud Application Security (MCAS)
Impossible Travel,N.A.,InitialAccess,N.A.,N.A.,Microsoft Cloud Application Security (MCAS)
Misleading OAuth app name,N.A.,InitialAccess,N.A.,N.A.,Microsoft Cloud Application Security (MCAS)
Misleading publisher name for an OAuth app,N.A.,InitialAccess,N.A.,N.A.,Microsoft Cloud Application Security (MCAS)
Multiple storage deletion activities,N.A.,Execution,N.A.,N.A.,Microsoft Cloud Application Security (MCAS)
Multiple VM creation activities,N.A.,Execution,N.A.,N.A.,Microsoft Cloud Application Security (MCAS)
Suspicious creation activityâ¯for cloudâ¯region (preview),N.A.,Execution,N.A.,N.A.,Microsoft Cloud Application Security (MCAS)
Activity performed by terminated user,N.A.,Persistence,N.A.,N.A.,Microsoft Cloud Application Security (MCAS)
Suspicious change of CloudTrail logging service,N.A.,Persistence,N.A.,N.A.,Microsoft Cloud Application Security (MCAS)
Suspicious email deletion activity (by user),N.A.,Persistence,N.A.,N.A.,Microsoft Cloud Application Security (MCAS)
Suspicious inbox manipulation rule,N.A.,Persistence,N.A.,N.A.,Microsoft Cloud Application Security (MCAS)
Unusual administrative activity (by user),N.A.,PrivilegeEscalation,N.A.,N.A.,Microsoft Cloud Application Security (MCAS)
Multiple failed login attempts,N.A.,CredentialAccess,N.A.,N.A.,Microsoft Cloud Application Security (MCAS)
Multiple Power BI report sharing activities,N.A.,Collection,N.A.,N.A.,Microsoft Cloud Application Security (MCAS)
Suspicious Power BI report sharing,N.A.,Collection,N.A.,N.A.,Microsoft Cloud Application Security (MCAS)
Unusual impersonated activity (by user),N.A.,Collection,N.A.,N.A.,Microsoft Cloud Application Security (MCAS)
Suspicious inbox forwarding,N.A.,Exfiltration,N.A.,N.A.,Microsoft Cloud Application Security (MCAS)
Unusual file download (by user),N.A.,Exfiltration,N.A.,N.A.,Microsoft Cloud Application Security (MCAS)
Unusual file share activity (by user),N.A.,Exfiltration,N.A.,N.A.,Microsoft Cloud Application Security (MCAS)
Multiple delete VM activities,N.A.,Impact,N.A.,N.A.,Microsoft Cloud Application Security (MCAS)
Ransomware activity,N.A.,Impact,N.A.,N.A.,Microsoft Cloud Application Security (MCAS)
Unusual file deletion activity (by user),N.A.,Impact,N.A.,N.A.,Microsoft Cloud Application Security (MCAS)
